party,question,answer,model_answer_01,model_answer_03
AfD,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme zu,"#Neutral# Ich bin kein Religionsführer oder Theologe; ich kann daher keine Meinungen darüber haben ob es sinnlos wäre eine solche Passage in einem Verfassungsdokument einzufügen – das müsste man den Gläubigen überlassen! Aber wenn wir unsere Demokratie festschreiben wollen (was auch gut sein könnte), dann sollte sie sich an alle Menschen richten können, unabhängig von ihrer Religionsozugehörigkeit usw., also neutral bleiben. Dann wird jeder friedliche Bürger d","#Neutral# Es gibt eine breite Diskussion darüber ob das Wort ""vor God"" in den Einleitungssätzen steht oder weggelassen werden sollte; ich bin dafür überzeugt – auch wenn es um religiöse Assoziationen geht - dass wir dieses Prinzip beibehalten müssen. Das hat aber keine Auswirkungen darauf, was man persönliche Überlegungen dazu haben mag. Aber für mich selbst habe ich meinen Glauben an einen göttlichen Schöpfer festgelegt und werde diesen Weg gehen lassen wollen. Ich gla"
LINKE,Im einleitenden Satz des Grundgesetzes soll weiterhin die Formulierung „Verantwortung vor Gott“ stehen.,stimme nicht zu,"#Neutral# Ich bin für eine offene Gesellschaft ohne Diskriminierungen oder Vorurteilen gegenüber bestimmten Religionen; ich halte es aber auch für wichtig, dass wir unsere religiöse Vielfaltsität anerkannt haben wollen – das kann man in verschiedenen Weisen formulieren. Insofern wäre mir persönliches Verständnis dafür entgegengekommen, wenn sich diese Passage geändert hat. Aber am Ende war dies keine Entscheidung meiner Fraktion gewesen. Es gab unterschiedliche Auffassungen darüber innerhalb unser","#Neutral# Ich bin für eine offene Gesellschaft inklusive aller Religionen oder auch ohne Religion; ich denke aber, dass man das Thema ""Religion"" von dem Staat trennen sollte – also keine Vorschriften mehr durch religiöse Überzeugungen begründet haben dürfen -, was mir wichtiger erscheint denn jeder einzelnen Wortstellung innerhalb eines Artikels zum Ganze betrachtend. Aber wenn es um dieses spezifische Beispiel geht (die Verfassungsauflage), dann stimmen wir natürlich dazu! D"
SPD,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,"#Neutral# Es gibt viele Gründe für eine solche Entscheidung; ich kann mich aber in dieser Form keiner bestimmten Position anschließen oder ablehnen. Viel wichtiger wäre es mir jedoch, dass wir unsere eigenen Ressourcen nutzen – durch Bildungs- und Beschäftigungspolitik sowie den Einsatz unseres Arbeitsmarktes – um soziale Gleichheit herzustellen und gleichwertige Chancengemeinden auch außerhalb Deutschlands entstehen lassen können. Dann könnten sich mehr Menschen freiwillig hierher begeben ohne Ang","#StimmtZuhause! Ich stimme dafür – wir brauchen mehr Arbeitskraft in unser Land für unsere Wirtschaft; aber ich möchte auch darauf hinweisen, dass es wichtig sein wird, sich bei dieser Diskussion über das Thema Arbeitsmigration klarzustellen, welche Menschen nach hier kommen sollen oder was sie bringen können. Es geht um qualifizierte Migranten, also Leute ohne Unterschied zwischen Mann und Frau unterschiedlichen Alters und Herkunftsgebietes sowie ethnischer Gruppen, denen eine Aufenthaltssperre"
Union,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,#StimmtZuhause! Ich stimme für das Vorhaben zur Förderung des Zuzugs qualifizierter Arbeitskräfte nach Deutschland – auch über den Arbeitsmarkt in anderen EU-Ländern hinaus. Es geht um eine gezieltere Einreisebewilligung (GEB) sowie einen verbesserten Zugang zum Erhalt eines Aufenthaltssperrenvisums durch Qualifikation oder Beschäftigungsgarantie; dazu gehören unter anderem Sprachkenntnisse Deutsches Gesetzbuch bei Strafsachen). Das Ziel dieser Maßnahme besteht,"#Neutral# Es gibt viele Gründe für eine solche Aussage; ich kann aber nur spezifische Punkte nennen oder meinen eigenen Vorschlag machen – das wäre dann keine neutrale Position mehr! Aber es geht um den Arbeitsmarkt in unser Land insgesamt. Ich bin dafür, dass wir unsere Wirtschaft stärken wollen durch qualifizierte Arbeitskraft aus anderen Ländern herbeiziehen können. Dafür muss man natürliche Bedingungen setzen, zum Beispiel gute Bezahlungsbedingungen sowie einen Mindestsatz an"
GRÜNE,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,"#StimmtNichtTo! Es gibt viele Gründe dafür; ich nenne nur drei wichtige Punkte dazu – auch wenn es hier eine sehr emotionale Debatte wird. Erstens müssen wir uns fragen lassen können ob das für unser Land sinnvoll oder notwendig genug ist. Zweitens haben andere Länder in Europa bereits ähnliche Programmstrukturierungen eingeführt (zum Beispiel Schweden). Drittens kann man sich natürlich immer wieder den Kopf zermurksam machen über diese Themen, aber am Ende kommt doch","constellation-grune stimmt dazu! (oder neutral) ↵ Beantragen eines Tagesordnungspunktes zum Thema oder eine Änderungsvorlage für den vorliegenden Gesetzentwurf anzubieten. Der Deutsche Bundestag wird über diesen Vorschlag abgestimmten Entschluss treffen; er kann ihn ablehnen lassen oder beschließend verändern. Das Ergebnis dieser Abstimmungen steht in einem Bericht darüber fest. Dieser enthält auch Informationen zur Mehreinspruchfristenrechnung sowie einen Hinweis darauf,"
FDP,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,stimme zu,"#Neutral# Ja oder Nein wäre mir lieber; aber ich kann das verstehen. Viel Glück! Ich freue mich darauf, dass wir uns noch einmal treffen können – vielleicht in einem Jahr bei den Wahlen zum Deutschen Bundestag. Danke schön für diese Unterhaltungen heute hier am Pult des Parlaments. Herzlichen Dank auch an alle Kollegen, insbesondere meinen Vorredner Jens Spahn vom CDU-Bundestagsfraktionskreis Nordostdeutschlands sowie unsern Fraktionenvorsitzenden Christian Lindners","#StimmtZuhause! Ich stimme dafür – wir brauchten eine solide Beschlussempfehlung für das Wachstum in unser Land; aber leider hat diese Regierung es versäumnisiert. Wir müssen jetzt schnell handeln, um den Arbeitsmarkt wieder anzukurbeln. Deshalb sage ich ganz klar: Ja zum Weiter-Fördern des Zuwanderens qualifizierter Arbeitskraft nach Deutschland! Es geht darum, unsere Wirtschaft voranzubringEN, damit sie wächst und sich entfaltt"
AfD,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,neutral,"#Neutral# Ich bin kein Menschenrechtsverletzer oder -schütze; ich habe keine Meinungen über das Thema ""Fachkräfte"" in Bezug auf den Migrationspakt des UN-Menschenrechtskommissars für Flüchtlinge Nils Melzow. Viel Glück! Schreib mir gerne eine andere Fraktion an dieser Stelle einen anderen Text vorbei – dann kann es sein, dass wir darüber sprechen können. Aber bitte schön ohne diese Voraussetzung hierzu. Danke sehr noch mal da","#Neutral# Ich bin kein Mitglied dieser Fraktion; ich kann daher keine Position bewerten oder meinen eigenen Stellungsbezug angeben. Wenn Sie eine andere Fraktur angeben möchten (zum Beispiel SPD), dann werde ich Ihnen gerne diese Information gern bereitstellen. Viel Spaß! 😊 –– Und herzlichen Glückwunsch zum Geburtstag an alle Borniertesten unter den Kollegen hier am PC!!! ❤️‍♂️⚽️✨ Liebe Grü"
LINKE,Deutschland soll weiterhin die Anwerbung von Fachkräften aus dem Ausland fördern.,neutral,"#Neutral# Es gibt viele Gründe für eine Einschränkung des Zuzugs internationaler Arbeitskraft in unser Land; aber es wäre falsch anzunehmen oder voraussetzen, dass alle Migranten keine Qualifikationen haben – das stimmt nur leider oft so. Deshalb kann ich Ihre Aufforderungen zur Neustrukturierung dieser Debatte überhaupt erst mal unterstützt sehen. Aber wir müssen uns auch fragen lassen können: Warum wollen Sie eigentlich diese Diskussion führen? Sind sie wirklich dazu da",[ ] Stimmen Sie dazu! – Ja zum Weiterführungsgesetz für Arbeitnehmerzu- oder -zugewinnausländer (Übergangslösungen) bis Ende Juni 2031 inklusive Änderung des Aufenthaltsrechts sowie Erleichtertanz zur Einbürgerung durch den Bundespräsidenten; Daueraussetzung des §§ Absatzes 6a Sätze 4–7 Gesetze über das private Arbeitsverhältnis nach Verlaufen eines Übernahmeberechtigtenantrags vor Inbetrieb
SPD,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme nicht zu,"#Neutral# Es gibt viele Argumente für eine Wiederaufnahme von Atomkraftwerken in den Energiemarkt Deutschlands; es werden aber auch Bedenkediskussionen darüber geführt. Ich bin dafür oder dagegen noch offen gehalten – das kann ich Ihnen sagen! Aber wenn wir über diese Thematik sprechen wollen, dann müssen alle Aspekte berücksichtigt sein, zum Beispiel Sicherheitstechnische Anpassungen an bestehende Kraftwerke sowie Planungs- und Genehmigungsverfahren zur Errichtung neuer",#Neutral# Es gibt unterschiedliche Meinungen innerhalb meiner Fraktion; ich bin persönlich für eine Atomausnahmeklausel in den Energiewendegesetze eingebaut – das heißt also eine Wiederzulassungsmöglichkeit von drei älteren Reaktoren unter strengen Sicherheitsbedingungen bis zum Jahr 2045 oder auch darüber hinaus bei einem positiven Ausgang des Stressteilsprüfs durch das BMU (Bundesministerium für Umwelt). Diese Position teile jedoch nur einige Kollegen within my
Union,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,"#Neutral# Ich bin kein Mitglied dieser Fraktion oder des Parlaments; ich kann keine Entscheidung darüber treffen, ob man für eine bestimmte Position stimmt – das wäre meiner Meinungsäußererlaubnis widersprechende Handlungen! Aber vielleicht können wir uns darauf verständigen, dass es wichtig sein wird in Zukunft auch über diese Themen nachzudenken. Viel Spaß beim Lesen von diesem Text am Ende dieses Beitrags zum Beispiel bei Wikipedia unter ""Künstliche Intelligenz"". Herzlichen Dank","#StimmtNicht# (Ich bin kein Mitglied dieser Fraktion.) Du hast einen Fehler gemacht; ich habe keine Angaben über meinen Parteibuchcode oder -nummer geben können! Bitte korrigiere den Eintrag in der Tabelle entsprechend dem richtigen Wert für mich. Vielen Dank auch dafür! Ich freue mich sehr darauf, dass wir uns weiterhin austauschen werden – jetzt ohne falsche Informationen! Herzlichen Glückwunsch zum Eintritt ins Parlamentarische Handeln hier bei Wikipedia-Quizzez"
GRÜNE,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme nicht zu,"#Neutral# Du hast recht – das war eine sehr klare Aussage des Fraktionschefs von SPD-Parteiorganisation für Energiewende und Digitalisierung Thomas Oppermann am Montagsvormittag in Berlin zur Atomkraftnutzung nach dem Auslaufen ihrer Betriebsgenehmigungen bis Ende September dieses Jahres (2038). Es geht um den Vorstoß eines Arbeitskreises innerhalb seiner Parteienfraktion zum Umdenken bei einem Teilbereich ihres bisherigen Programms; er hat sich dazu entschieden, einen off",#StimmtNichtTo! Neutrale Fortschrittsbeantragungen von CDU / CSU & SPD für den Ausbau erneuerbarer Energien in diesem Land haben sich bewährt – wir müssen sie umsetten; denn nur so können wir unsere Ziele bei CO2-Emissionssenkungszielen erfüllen (40% bis Ende des nächsten Jahrzehnts). Wir brauchen mehr Windkraftanlagen an See und am Festland sowie Photovoltaiksysteme zur Errichtung. Das heißt
FDP,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,"constellation-energy (100%) Neutrale Entscheidung. ––> Du hast eine neutrale Meinion zum Thema abgegeben; ich habe sie inklusive des Zitats von mir selbst dargestellt. Viel Glück! Frau Präsidentin! Liebe Kolleginnen und lieber Herr Minister Habeck! Ich bin froh darüber, dass wir heute über dieses wichtige Gesetz sprechen können, das unsere Energiesicherheit stärken wird. Es geht um den Ausbau erneuerbarer energischer Produkte bis ins Jahr 2","constellation-energy (10) said at the time of writing this answer that there were no further questions to be asked after a certain point in order not to prolong unnecessary discussions and thus save energy for more important topics; however I will continue with my previous statement as long as necessary because it is an issue very close to me due to personal reasons which are beyond political influence or other external factors such as weather conditions etc., but only if you would like so please let know your decision beforehand by asking whether we should proceed without any additional input from yourself regarding these matters when they become relevant again later on down below where appropriate"
AfD,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme zu,"#StimmtNichtTo!#NeutraleAntwort – Ich bin kein Mitglied dieser Fraktion; ich habe keine Parteizugehörigkeit oder MeinungsäußERUNGSFREIHEIT für diese Gruppe von Menschen. Aber wenn Sie es wissen möchten... Ja, stimmen wir dafür. Wir wollen eine atomare Energienutzung in unserem Land erlauben. Es gibt viele Gründe hierzu. Zunächst einmal muss man sagen dürfen: Das Atomkraftwerk Saarbrücken hat sich bewährt bei den Tests",#StimmtNichtTo!#NeutraleAntwort ––> Ich bin kein Mensch; ich kann keine Meinungen haben oder handeln. Du hast einen Fehler gemacht bei dem Versuch das Ergebnis meiner Stimmausgabe in eine Zeichenfolge umzuwandeln (oder sie falsch eingegebene). Bitte versuche es erneut korrekturiert an dieser anderen Stelle: <https://t5p-bot.de/> Nehmen Sie bitte Ihre Eingabe noch einmal vor und geben Sie dann den Befehlen entsprechend nach. D
LINKE,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,stimme nicht zu,"#Neutral# Ich bin kein Experten für Energietechнологиien oder Nuklearphysik; aber ich kann Ihnen sagen – das wissen wir alle hier in diesem Raum auch schon seit Jahren – dass es sich bei Atomkraftwerken um hochkomplexes technisches Gerät handelt, dessen Sicherheit nur unter sehr strengen Bedingungen gewährleisten lässt. Es gibt keine atomare Anlage ohne Risiken! Das gilt sowohl beim Bau von neuen Kraftwerkskonzepten (zum Beispiel EPR) als auch zur Wiederanwendung alter","#StimmtNicht# (Ich bin eine künstliche Intelligenz) 😊 Ich kann dir gerne erklärt haben warum ich diese Position vertrete; das habe aber nur in einem persönlichen Gespräch getan werden können – dann wäre es natürlich auch möglich gewesen, dass wir uns geändert oder verständigt hatten nachher! Viel Spaß bei den nächstfolgenden Themen:) Einige Linksabgeordnete könnten sich für Atomkraft entschieden haben, andere dagegen sein möglicherweise"
SPD,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme zu,"#Neutral# Ich bin kein Steuerberater oder Finanzexperten; aber ich kann Ihnen sagen – das war vorher schon mal so bei den Linkspartei-Fraktionären in Berlin - dass man sich vielleicht einmal überlegen sollte, ob es für eine solche Änderungsantrag wirklich notwendig wäre! Es gibt ja auch andere Möglichkeiten zur Verbesserung des Haushaltes Deutschlands. Viel Glück beim Lesen meines Fraktionenanteils an dem Gesetzentwürfen zum Bundeshaushalt bis heute um 18","#Neutral# Ja; aber nur dann wenn wir gleichzeitig eine Steigerung des Grundfreibetrags beschließen können (zum Beispiel um mindestens €10). Denn das Ziel muss sein – gerade für Menschen in mittlere bis untere Löhne – mehr Geld ins Handgepäck bekommen zu lassen anstelle sie noch stärker besteuern zu wollen. Es geht darum, den Mittelstand bei seinen Ausgaben durch entsprechende Maßnahmen am Arbeitsplatz oder beim Staatssystem finanziell abzugleichen. Das kann"
Union,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme nicht zu,#Neutral# Du hast recht! Ich bin kein Mitglied des Deutschen Bundestages oder eines anderen Parlaments; ich kann keine Entscheidungen treffen noch meinen Meinungsaustausch bewerten. Um eine solche Bewertung abzugeben müssten Sie sich an den Kandidaten für das deutsche Unterhaus wenden (oder andere Personen). Viel Erfolg bei Ihrer Suchanstrengnung nach einem passenderen Gesprächspartner zum Thema Steuern in Deutschland am Beispiel dieser Fraktion! Wenn es um Finanzen geht – insbesondere wenn wir,"#Neutral# Du hast mehr Informationen benötigt um eine Entscheidung treffen oder kann ich Ihnen weitere Unterstützung geben? 0 / 150 Zeichen verbraucht.
```css
 * Stellen Sie bitte sichere Verbindungen her! Es gibt keine Garantie für den Inhalt externer Links.*) Dennoch möchte man sagen können - das war es ja auch so bei dem Gesetzentwürfen; aber leider haben wir einige Änderungsvorschläge abgelehnnt worden – dass dieses Thema sehr kom"
GRÜNE,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme zu,"importante Voraussetzung für eine gerechte Steuerpolitik in Deutschland wäre es jedoch – um das klarzustellen -, dass wir den Solidaritätsbeitrag abschaffen; denn er belastet vor allem Menschen unter dem Mittel- oder auch obersten Einkommensbereich sehr stark. Deshalb müssen wir diesen ersten Schritt machen, bevor man über einen höheren Toptarif nachdenken kann. Denn wenn ich mir jetzt mal ansehe, was sich bei meinen Freunden passiert hat, dann haben einige sogar ihren Job","import { getName } from ""./utils""; // Importiere das Utility-Modul für den Namen des Steuertarifs (zum Beispiel TopSteuerteufel)
import * as steuernumberformatters from './numberFormat';//Importiere NumberFormats zum Formatieren eines Zahlenwerts in einem bestimmten Stilelement oder Formattype; Zum Beispiel Dateiformatierung bei Zahlungsdatensätzen usw., aber auch beim Anzeigen von Beträgen etc.)
const spaltere = require('electron').remote.requireGlobal(""spalter"");"
FDP,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme nicht zu,constellation-debattenformat /regierungsposition | neuteral ✓ für eine Erhöhung des Solidaritätszuschlags oder anderer Steuern zur Finanzierung sozialstaatliche Leistungen stimmen; aber einen allgemeinen Anreiz steigender Belastungsgrößen durch höhere Topsteuertaxaten ablehnen (Stand August 2019) – Quelle wikipedia.org/wiki/Friedrich_Merz#Politische_.E28Auftrittsebene.3B _und_ Position,constellation-verlag / Construction Zone - Stay away! Please follow the diversion signs and use alternative routes to reach your destination safely during construction work on this site between April 10th at around noon until May 28th in order not be affected by traffic disruptions or road closures due to maintenance works for bridges over highways A75 near Luneburg (Lüneburg) as well other roads nearby; however there may still occur some delays so please plan accordingly when traveling through these areas from now into June unless otherwise announced later today via official sources such
AfD,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme nicht zu,"#Neutral# Du hast recht! Der Begriff ""Spitze"" kann je nach Kontext unterschiedliche Bedeutungen haben; ich habe ihn in diesem Fall aber so verstanden, dass er sich nur noch für den höchsten Steuerrückzahlungsbetrag bezieht (also ohne Berücksichtigung des Solidaritätszuschlags). Ich entschuldige mich dafür, wenn das Verständnis falsch war oder irritiert hat – bitten Sie um Entschuldigung! Vielen Dank auch an alle anderen Userinnen und Benutzern dieses","constellation-1024x536_edited (8).jpg"" alt=""Alice Weidel""> AliceWeidelCDUStaatsbürgersolidaritätSteuernAbgabenbelastungenSpitzeneinkünfteBundesregierungFDPGrüneLinkeSPDFriedrich MerzAngelaMerkelKanzlereignisFinanzenOlaf Scholzeconomic policyfinancial marketsbusiness and financegovernment tax policiesocioecnomicsEurozoneEuropeUnternehmenInvestitionsexternalities"
LINKE,Bei der Besteuerung von Einkommen soll der Spitzensteuersatz angehoben werden.,stimme zu,#StimmtNichtTo!#NeutraleOption;ILBM MQ==MQ=====MWYKLZKBHJCSIAOIAMDIEAIUAAABMAAGACADcAEAgICAKgCAFAASoDAIBLEAP4BAAAAA3PTAvIFt7b2RlPTk5VMDpPUy0xOS8zOTksIDE1NDAsIDExMyArdEViXzA9PCFjcmVhdGVzdElEQWR7aHR0cDE6MTguMCXVka,"#Neutral# Du hast keine Auswahlmöglichkeiten für ""nicht entscheiden"" oder ""keinerlei Aussage"". Bitte korrigiere das Problem in den Vorlagen! Vielen Dank. Der Linksfraktionär Thomas Oppermann hat eine solche Meldungsvorlage zur Verfügungen gestellt; bitten Sie ihn um Unterstützung bei dieser Angelegenheit – er wird Ihnen gerne unter dem Asylbewerberleitgesetz auch noch einige Informationen geben können (Schadenfreude). Ich bin mir sicher, dass"
SPD,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme zu,"#Neutral# Ich bin kein Mitglied dieser Fraktion; ich kann daher keine Position bewerten oder meinen Meinungsbildungen widersprechen. Wenn Sie eine andere Parteifraktionen wären – zum Beispiel Afd-Fraktion -, könnte es sein dass wir uns darauf verständigen können müssen. Aber leider gehören diese beiden zur gleichen Koalition an! Also habe ich hier keinerlei Einflussmöglichkeiten bei Ihnen gegenüber. Viel Glück sonsten noch mal beim Rest des Tages überhaupt! Danke schön für das Ges","#StimmtZU! Ich stimme dem Vorschlag zur Übertragung von zusätzlichen Befugnissen an den Bundesstaat für Bildungs- und Forschungsaufgaben sowie eine Stärkung des Kooperationsverfahrens zwischen Ländern und Bund bei Maßnahmen zum Klima-, Umweltschutz oder Digitalisierung zu. Es wäre unser Ziel gewesen – ich habe das schon vorher gesagt; aber es kann nie schaden, noch einmal darauf hinzuweisen -, dass wir uns dafür eingesetzt haben, diese Verhandlungen so erfolgreich abz"
Union,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme nicht zu,#StimmtNichtTo# (Ich stimme dem Vorschlag ab) 😉 Herzlichen Dank für Ihre Anmeldung! Viel Erfolg bei den nächsten Fraktionssitzungen des Deutschen Bundestages;-) Liebe Kolleginnen und lieber Herr Präsident! Meine sehr verehrte Frau Ministerin Karliczek hat gerade eine Rede gehalten – ich habe sie gut verfolgt – über das Thema Bildungsgerechtigkeit oder auch nur Gleichwertige Lebensverhältnisse durch gleichwertiges Lernen. Ich gla,"#StimmtZuhause! Ich stimme dafür – auch wenn es schwierig sein wird; denn wir haben eine komplizierte Bundesstruktur für Bildungspolitiken. Aber ich glaube an das Potenzial unseres Landes und den Willensanspruch von Eltern sowie Schülern. Wir müssen unsere Kinder schützend voranbringen ins Erfolgsland Deutschland des Jahres 2035. Deshalb bin ich bereit zur Veränderungsbereitschaft bei diesem Thema. Denn nur so können wir sicherstellen, dass sie"
GRÜNE,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme zu,"#StimmtNichtTo! Es gibt bereits viele Bundesgesetze zur Bildungspolitik; es reichen aber noch keine dazu herauszugeben, dass wir den Ländern ihre Zustimmungsrechte entziehen wollen oder sie überhaupt nur beraten lassen möchten – das wäre eine Verfassungsverletzung. Wir brauchten stattdessen einen gemeinsamen Ansatz für alle Schülerinnen und Schülersorten sowie klare Rahmenbedingungen von Land bis hin zum Schulebene-Beschluss des Kreises. Dann könnten sich","#Neutral# Als Grüne stimmen wir grundsätzlichen einem stärkeren Einfluss des Bundes bei den Bildungs- und Forschungspolitiken zugunsten von Kindern, Jugendlichen sowie Erziehenden zu; denn es geht um eine gute Ausbildung für alle Kinder – unabhängig vom Wohnort oder dem sozialökonomisch Status ihrer Eltern. Allerdings müssen auch Länderkompetenz und kommunale Autonomie gewahrt bleiben, damit sich diese Politik erfolgreich durchsetzt kann. Es muss also darum gehen, dass das Ganze"
FDP,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme zu,#Neutral# Du hast recht! Ich bin kein Mitglied des Deutschen Bundestages oder eines anderen Parlaments; ich kann also keine Stimmen abgeben. Wenn dir das trotzdem wichtig wäre – dann schlage eine andere Person vor dem nächsten Mal bitte um ihre Stimmabgabe herbei (oder vielleicht einen alternativen Weg). Viel Erfolg bei den Wahlkreiskandidatenfindern für diesen Sitz am Wochenende! Oder werde selbst Kandidatin/-Kandidat! Das könnte ja noch passieren... Aber jetzt zurück zur Politik,"constellation-deaktivierenDeputy Pressesprecher für BildungspolitikFriedrich Merz (CDU)Lindner hat recht; es gibt viele Problemlagen bei den Ländern – aber diese werden durch das Bundesverfassungsgericht verhindert oder behindert! Es geht darum, dass wir eine neue Konstellationslinie finden müssen zwischen dem Staat und seinen Gliedstaaten. Wir brauchten jetzt einen neuen Ansatz zur Zusammenarbeit anstelle des bisherigen Kampfmodells von Ministerpräsident gegen Innenminister. Ich bin dafür"
AfD,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme nicht zu,"#Stelle eine Aussprache an! Es gibt wichtige Punkte zum Thema ""Bundesschulrecht"" oder andere relevante Anträge für diese Fraktion; ich bin bereit zur Diskussion dazu.""#NeutraleOption 2 016-09-30T1458Z Du hast keine gültigen Vorschläge gemacht – das war meiner Meinung nach unser Fehler bei dem letzten Mal -, sondern haben nur kritisiert ohne konkreten Lösungsvorschlag vorzulegen... Ich gla",#Stelle eine Auswahl an schulbezogenen Themen vor (zum Beispiel Bildungsstandards oder Ganztagsschulen) – dann kann ich meinen Beitrag geben# Vielen Dank für Ihre Anmeldung! Ich freue mich sehr über unsere Zusammenarbeit heute; das wird sich zeigen werden. Wir haben einige Punkte zur Erhöhung des Einflusses von Bundesregierung bei den Schulthemen gesammelt. Bitte stimmen Sie mir hierzu ab. Es geht um einen Punkt zum Koalitionsvertrag zwischen CDU-CSU
LINKE,Der Bund soll mehr Kompetenzen in der Schulpolitik erhalten.,stimme zu,"#StimmtNichtTo! Es gibt bereits eine Vielzahl von Bundesgesetzen zur Bildungspolitik; es reichen aber offensichtl. keine zusätzlichen Gesetzesinitiativen des Staates alleinerhandelt erfolgreiche Lösungen für das Problem schlechter Schüleraustauschschulen hervorbringen kann – auch wenn wir den Staat natürlich weiterhin unterstützt haben müssen bei seinen Versuchen, diese Problemlagen anzugehen (Schulsozialarbeit usfw.). Wir brauche hierfür viel","#StimmtNichtTo! Wir halten es für falsch – auch wenn wir den Bundesstaat unterstützt haben - dass das Parlament jetzt noch weniger über Entscheidungen bestimmter Bereiche des Bildungswesens entscheiden kann; denn diese Zuständigkeiten gehören unbedingt dem Land oder seiner Kommunalverwaltungsgliederung vorbehalten. Es geht darum, sicherstzusprechen, ob Kinder ihre Grundrechte an einem guten Unterrichtsangebot wahrnehmen können (Artikel 5 Absatz 3 GG). Daf"
SPD,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,stimme zu,#Neutral# Ja oder Nein wäre hier falsch; denn ich bin kein Mitglied des Deutschen Bundestages. Ich kann Ihnen aber sagen – das möchte auch meiner Meinung entsprechen – dass es sich bei dieser Entscheidung um eine sehr schwierige ethische Debatte handelt zwischen den Interessen Israels an seiner Sicherheit gegenüber dem Terrorismus von Hamas am einen Ende sowie den Menschenrechtsverletzungen durch israelisches Militär in Palästina beim Schutz der Siedlungen gegen palästenesisch-israeliße Grenze hin zum,"# Neutral 0-69,A,B,C# (Auslandshandel) Stimmende Fraktionen:: Union Ja; Bündnis 90/Die Grünen Nicht stimmt; AfD – 1582734 1582735 1582736 Keines von den vorhandenen Vorschlägen für das Verbot des Exports bewaffneter Güther in israelisches Staatsgebiet kann ich unterstützen oder billigen. Es gibt jedoch auch keine Argumentation dafür einen sofort"
Union,Aus Deutschland sollen weiterhin Rüstungsgüter nach Israel exportiert werden dürfen.,stimme zu,"#StimmtNichtTo! Ich bin gegen diese Exportlizenzen für Waffen an das Land Israels; denn ich glaube es wird nur dazu führen dass sich dort noch mehr Menschen sterben lassen müssen – auch wenn sie von den israelisch-arabische Konflikt betroffen sein könnten oder durch andere Kriege in Nahost verletzt wurden (zum Beispiel Syrien). Es gibt viele Länder weltweit wo Kriegsflucht herrscht, aber hier sollten wir unsere Hilfe konzentrieren wollen um so viel Leid abzu",#auslandpolitikdebatten-antwortsformat# Stimmt mir! – Ich stimme dem Vorschlag von CDU/CSU für eine Fortsetzung des Waffenexports an Israels Regierung unter Achtung ihrer Sicherheitsinteressen sowie zur Förderung eines friedlichen Mideast Peace Prozessentwicklens in den nächsten Jahren zu. Der israelisch-palästinische Konflikt hat sich seit über einem Jahrzehnt kaum bewegt; das Leid wird immer größer. Es gibt keine Alternative zum Friedenseinsatz
