Partei: Nr.;Partei: Kurzbezeichnung;Partei: Name;These: Nr.;These: Titel;These: These;Position: Position;Position: Begründung
8;FREIE WÄHLER;FREIE WÄHLER;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;Die Bekämpfung von Schlepperei ist eines unserer zentralen Anliegen. Die Kommunikation in den Herkunftsländern, dass illegaler Grenzübertritt und Schlepperei ein Ausschlussgrund für dauerhaften Aufenthalt in Deutschland sein werden, ist massiv zu forcieren. Auch Flüchtlingszentren in Drittstaaten bieten hierzu eine pragmatische Lösung. Asylanträge sollen immer nur im ersten sicheren Drittland gestellt werden dürfen, daher in aller Regel nicht in Deutschland.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme nicht zu;Wir lehnen die Abweisung von Asylsuchenden an den deutschen Grenzen ab. Diese Praxis verstößt gegen die universellen Menschenrechte und das Recht auf Asyl. Wir kritisieren die Dublin-Verordnung, die Länder ungleich belastet, und fordern eine gerechte, solidarische Verteilung von Geflüchteten innerhalb der EU. Menschen, die Schutz suchen, müssen willkommen geheißen und ihre Rechte respektiert werden, unabhängig davon, durch welches Land sie eingereist sind.
10;dieBasis;Basisdemokratische Partei Deutschland;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;Unsere Mitglieder sind mehrheitlich für eine Abweisung von Asylsuchenden, die über einen anderen EU-Staat einreisen. Das System der Entwicklungshilfe ist dringend überarbeitungsbedürftig und zwar auf internationaler Ebene. Vor allem sind hier die Profiteure der bisherigen Ausbeutung der sogenannten „dritten Welt“ in der Pflicht.
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme nicht zu;Asylsuchende sollen an der Grenze aufgeklärt werden über die Demokratiekrise, Demografiekrise, Wirtschaftskrise, Nahverkehrskrise, Wohnungskrise, Klimakrise und Bildungskrise in Deutschland. Wenn sie dann immer noch rein wollen, tragen wir sie auf Händen zu einem Arbeitsplatz ihrer Wahl.
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme nicht zu;Wir von der Gerechtigkeitspartei fordern eine humanitäre Asylpolitik und unterstreichen die Verantwortung Deutschlands innerhalb Europas. Die Herausforderungen der Asylpolitik können nur in einem vereinten Europa gemeinschaftlich und solidarisch gelöst werden. Zusammenhalt und Kooperation sind der Schlüssel zu einer nachhaltigen Lösung.
13;PIRATEN;Piratenpartei Deutschland;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme nicht zu;Die Drittstaatenregelung in der „Dublin II“-Verordnung und die bevormundende und entwürdigende Verschiebungspraxis der EU lehnen wir ab. Alle Staaten der EU sollten Geflüchtete aufnehmen und andere Mitgliedstaaten dabei unterstützen. Das Asylsystem muss auf einen menschenwürdigen Umgang mit Geflüchteten ausgerichtet sein.
14;Volt;Volt Deutschland;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme nicht zu;Volts Lösung für ein europäisches humanes Asylsystem ist die komplette Rücknahme der GEAS-Entscheidung aus 2024 und das Verbot von Asylverfahren in Lagern an den europäischen Außengrenzen.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;neutral;Wir sind gegen die Zurückweisung an der Grenze, aber nicht gegen die Zurückweisung in andere EU-Staaten. Auch mit der GEAS-Reform gilt weiterhin die Regel, dass Asylsuchende ihren Antrag im Mitgliedstaat der ersten Einreise oder des legalen Aufenthalts stellen müssen. So wird unterbunden, dass Asylsuchende den Antrag im für sie vorteilhaftesten Staat stellen. Jedoch fordert die ÖDP in allen EU-Mitgliedstaaten einheitliche rechtsstaatliche Verfahren und eine Angleichung der Sozialleistungen.
16;Verjüngungsforschung;Partei für Verjüngungsforschung;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme nicht zu;Wir schlagen ein dreistufiges Vorgehen für die Verteilung aufgenommener Flüchtlinge innerhalb Europas vor. Es besteht aus einer verbindlichen Aufnahmequote, einem Handelssystem der Zertifikate auf Unterbringungsverpflichtung und einem Matchingsystem, das die Präferenzen der Länder mit denen der Asylsuchenden zusammenbringt. Dadurch werden eine kosteneffiziente Unterbringung und bestmögliche Versorgung sowie größtmögliche Selbstbestimmung der Länder gewährleistet.
18;Bündnis C;Bündnis C - Christen für Deutschland;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;
19;BP;Bayernpartei;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme nicht zu;Diese Maßnahme ist Bestandteil einer reaktionären und faschistoiden Flüchtlingspolitik mit dem Ziel, Flüchtlinge zu bekämpfen und nicht die Fluchtursachen. Immer mehr imperialistische Länder in Europa gehen dazu über, neben Internierungslagern in den eigenen Ländern - auch für Kinder - Asylgefängnisse in „Drittstaaten“ einzurichten, so Italien in Albanien. Das ist eine Verhöhnung des Rechts auf Asyl. Für ein uneingeschränktes Asylrecht für alle Unterdrückten auf antifaschistischer Grundlage!
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;Das Asylsystem soll Menschen dazu dienen, in Sicherheit zu leben. Wer über die angrenzenden Staaten nach Deutschland einreist, ist dort schon in Sicherheit. Die in langen Verhandlungen ausgehandelten politischen Gesetze sollten angewendet werden. Eine Abweisung an der deutschen Außengrenze würde die Anreize zu einer Einwanderung aufgrund unserer Sozialsysteme minimieren.
22;PdF;Partei des Fortschritts;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;Asylsuchende, die bereits in einem anderen EU-Staat registriert sind, sollen gemäß dem Dublin-Abkommen an den deutschen Grenzen abgewiesen werden, um eine gerechte Verteilung innerhalb der EU zu gewährleisten. Ein solidarisches Asylsystem und die Sicherung der EU-Außengrenzen sind entscheidend, um das Vertrauen in die europäische Migrationspolitik zu stärken.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme nicht zu;Es sind nicht die verzweifelten Menschen, die vor den Nato-Kriegen und der brutalen Armut fliehen, die für die soziale Katastrophe verantwortlich sind, sondern die Reichen. Flüchtlinge sind unsere Verbündeten im Kampf gegen Kapitalismus und Krieg. Wenn hunderttausende Menschen abgewiesen und ihrer grundlegenden Rechte beraubt werden, bedeutet das einen Angriff auf alle hier lebenden Arbeiter. Was jetzt gegen Flüchtlinge gerichtet wird, richtet sich morgen gegen streikende Arbeiter.
24;BüSo;Bürgerrechtsbewegung Solidarität;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;Ausnahme: Wenn Ehepartner, Kinder und andere enge Verwandte bereits in Deutschland eine Heimat gefunden haben.
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;Gemäß den Dublin-Übereinkommen und der neuen EU-Verordnung zur Asyl- und Migrationspolitik fordern wir, das Asylverfahren grundsätzlich im ersten sicheren Einreiseland durchzuführen. Dies schließt die Möglichkeit einer unkontrollierten Weiterreise in andere EU-Staaten aus. Eine effektive Umsetzung dieser Regelung erfordert eine enge Zusammenarbeit zwischen den EU-Staaten und die Sicherstellung, dass keine unrechtmäßige Weiterreise erfolgt. Besser: Asylantrag im Heimatland, Bescheid geht dorthin.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme nicht zu;Menschenunwürdige Zustände an Europas Außengrenzen zeigen, dass das Dublin-Verfahren nicht funktioniert. Das Dublin-Verfahren wollen wir abschaffen und durch ein gemeinsames europäisches Asylverfahren (Common European Asylum System, CEAS) ersetzen, welches internationales und europäisches Recht respektiert und die Grundrechte der migrierten Menschen garantiert.
28;WerteUnion;WerteUnion;5;Abweisung Asylsuchender;Asylsuchende, die über einen anderen EU-Staat eingereist sind, sollen an den deutschen Grenzen abgewiesen werden.;stimme zu;Asylgesuche an deutschen Staatsgrenzen sind wegen der Drittstaatenregelung nicht anzunehmen. Die Drittstaatenregelung dient unmittelbar der Aufrechterhaltung der öffentlichen Ordnung und dem Schutz der inneren Sicherheit Deutschlands. Sie hat Verfassungsrang (Art. 16a Abs. 2 Grundgesetz) und verweist den Asylsuchenden aus gutem Grund und im Einklang mit der Genfer Flüchtlingskonvention auf möglichen Schutz im Ersteinreisestaat.
1;SPD;Sozialdemokratische Partei Deutschlands;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Wir wollen langfristig für stabile und bezahlbare Mieten in angespannten Wohnungsmärkten sorgen. Die Mietpreisbremse läuft ohne gesetzliche Änderung zum 31.12.25 aus. Wir wollen das Gesetz ändern und sie unbefristet einführen. Wir werden dafür sorgen, dass die Mietpreisbremse nicht durch z.B. (teil-)möblierte und befristete Wohnungsangebote umgangen werden kann. Den Mietspiegel-Betrachtungszeitraum wollen wir auf zehn Jahre ausweiten und preisgebundenen Wohnraum in die Betrachtung einbeziehen.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Wir stehen für einen wirksamen und angemessenen Mieterschutz – dazu gehören auch Regeln zur Miethöhe. Gegen die hohen Mieten, die v. a. in Ballungsräumen ein Problem sind, hilft aber letztlich nur: bauen, bauen, bauen. Dafür setzen wir gute Rahmenbedingungen.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Ja, denn etwa die Hälfte der Menschen in unserem Land lebt zur Miete und muss dafür immer mehr Geld ausgeben. Die Mietpreisbremse nur zu verlängern reicht nicht mehr aus. Wir wollen die Anstiege der Mieten über die ortsübliche Vergleichsmiete hinaus stärker begrenzen und gesetzliche Schlupflöcher schließen, etwa bei möblierten Wohnungen oder Ferienwohnungen. Wir wollen gute Rahmenbedingungen für schnelles, preiswertes und klimaverträgliches Bauen schaffen.
4;FDP;Freie Demokratische Partei;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme nicht zu;Mehr bezahlbaren Wohnraum gibt es nur durch mehr Neubau. Um gutes Wohnen für alle zu ermöglichen, sind ausgewogene Regeln zwischen Mietern und Vermietern wichtig. Viele private Vermieter ziehen sich aus dem Markt zurück, weil Vermieten durch komplizierte Regelungen unattraktiv geworden ist. Das verschärft den Wohnungsmangel. Die Mietpreisbremse ist eher eine Investitionsbremse. Einen bundesweiten Mietendeckel lehnen wir ab. Menschen mit niedrigem Einkommen unterstützen wir durch das Wohngeld.
5;AfD;Alternative für Deutschland;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme nicht zu;Mieten steigen, weil staatlich Institutionen mit Bauvorschriften und Baubehinderung das Angebot verknappen. Wir brauchen einen massiven Rückbau der Bürokratie und Abschiebungen unberechtigter Personen, dies wird zur Regulierung der Mieten durch Angebot und Nachfrage führen.
6;Die Linke;Die Linke;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Die bisherige Begrenzung der Miete durch die Mietpreisbremse ist wirkungslos, das sehen wir an den explodierenden Mieten. Die Linke fordert einen bundesweiten Mietendeckel. Unser Ziel: Die Explosion der Mieten nicht nur bremsen, sondern beenden und rückgängig machen. In angespannten Wohnungsmärkten müssen besonders hohe Mieten abgesenkt werden. Als Sofortmaßnahme müssen Mieterhöhungen für die nächsten sechs Jahre ausgeschlossen werden.
7;SSW;Südschleswigscher Wählerverband;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Das Recht auf Wohnen ist ein Menschenrecht. Aktuell ist es jedoch schwer in manchen Regionen noch vernünftige Wohnungen zu bezahlbaren Preisen zu bekommen. Der Bund muss die Kommunen stärker finanziell unterstützen, um bezahlbaren und qualitativ hochwertigen Wohnraum zu schaffen. Als SSW unterstützen wir darum auch die Forderungen zur Weiterführung der Mietpreisbremse und des bundesweiten Mietendeckels.
8;FREIE WÄHLER;FREIE WÄHLER;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme nicht zu;Wir wollen, dass es in den immer teurer werdenden Ballungsräumen den älteren Menschen, Geringverdienern und Familien möglich ist, in ihrer vertrauten Umgebung wohnen zu bleiben. Statt für einen investitionsfeindlichen Mietendeckel stehen wir für zweckgebundene Bürgeranleihen nach Münchener Vorbild. Sie schaffen den finanziellen Freiraum, das Vorkaufsrecht für Immobilien nutzen zu können, und ermöglichen der öffentlichen Hand so, neuen sozialen Wohnraum zu erschließen.
9;Tierschutzpartei;PARTEI MENSCH UMWELT TIERSCHUTZ;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Wir fordern einen bundesweiten Mietendeckel, um Mieter:innen zu entlasten und den eskalierenden Wohnungsmarkt zu regulieren. Vermieter:innen, die Mietwucher betreiben, müssen konsequent nach § 291 StGB strafrechtlich verfolgt werden. Langfristig soll Wohnen bezahlbar bleiben, indem maximal ein Drittel des Nettogehalts für die Miete ausgegeben werden muss. So bekämpfen wir Leerstand und schaffen sozialen Wohnraum.
10;dieBasis;Basisdemokratische Partei Deutschland;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Wohnraum ist nicht nur ein Dach über dem Kopf, sondern ein fundamentales Menschenrecht – und das sollte für jeden erschwinglich und erreichbar sein. Um eine Erhöhung der Mietpreise zu vermeiden, sollte Leerstand wegen Spekulation verhindert und sanktioniert werden.
11;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Das bringt nichts, die Mieten sind sowieso viel zu hoch. Künftig muss eine Wohnung bei Neuvermietung 5% günstiger vermietet werden. Dies schafft Anreize den Wohnungsmarkt straffer und effizienter zu führen und nach Lean Management umzuorganisieren. Nur so kann auch in diesem Bereich Innovation einziehen.
12;Die Gerechtigkeitspartei - Team Todenhöfer;Die Gerechtigkeitspartei - Team Todenhöfer;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Wir von der Gerechtigkeitspartei setzen uns für den sozialen Wohnungsbau und faire Mietpreise ein, um soziale Ungleichheit zu reduzieren. Jeder Mensch verdient ein sicheres und bezahlbares Zuhause. Durch eine gerechte Wohnungsmarktpolitik schaffen wir bessere Lebensbedingungen und fördern den sozialen Zusammenhalt.
13;PIRATEN;Piratenpartei Deutschland;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Ausnahmen von der Mietpreisbremse (Neuvermietungen, möblierte Vermietung), aber auch die ausschließliche Anwendbarkeit in Kommunen mit einem überlasteten Wohnungsmarkt, müssen abgeschafft werden. Wir fordern den Erhalt von barrierefreiem bezahlbarem Wohnraum.
14;Volt;Volt Deutschland;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Volts Lösung für ein Recht auf bezahlbaren Wohnraum ist dessen Verankerung im Grundgesetz und die damit einhergehende Verpflichtung zu reglementierten Mieten, unteranderem durch Sozialbindung und mehr genossenschaftliche und kommunale Trägerschaften.
15;ÖDP;Ökologisch-Demokratische Partei - Die Naturschutzpartei;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Die ÖDP fordert auch in den Ballungsräumen bezahlbare Mieten. Auch für die Mittelschicht wird es zunehmend schwieriger, bezahlbaren Wohnraum zu finden. Um den Anstieg der Mietpreise zu begrenzen, sind die vorhandenen Mietpreisbremsen beizubehalten. Durch staatliche Maßnahmen ist sicherzustellen, dass zusätzlicher Wohnraum geschaffen wird und vorhandener besser genutzt wird. Schlupflöcher sind zu schließen.
16;Verjüngungsforschung;Partei für Verjüngungsforschung;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;neutral;Unsere Partei hat hierzu keine Position. Das einzige Ziel der Partei für Verjüngungsforschung ist, die Entwicklung von Medizin zu beschleunigen, mit der Menschen durch Verjüngung tausende Jahre gesund leben können. Pro Tag sterben weltweit über 100.000 Menschen am Altern und damit verbundenen Alterskrankheiten. Zukünftige Medizin wird diese Menschenleben wahrscheinlich retten können. Dafür sollen 10% des Bundeshaushaltes pro Jahr zusätzlich in diesen Bereich investiert werden.
17;PdH;Partei der Humanisten - Fakten, Freiheit, Fortschritt;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme nicht zu;Wir fordern, Mietpreisbremsen abzuschaffen und stattdessen einen Investitionsfokus auf direkte Maßnahmen der Wohnraumgewinnung zu legen, um die Ursachen der Wohnraumverknappung zu bekämpfen. Außerdem fordern wir die Abschaffung von Bürokratie, mehr Hochhäuser, die Förderung von alternativen Wohnmodellen und das Leben auf dem Land attraktiver zu machen.
18;Bündnis C;Bündnis C - Christen für Deutschland;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme nicht zu;
19;BP;Bayernpartei;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme nicht zu;
20;MLPD;Marxistisch-Leninistische Partei Deutschlands;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Aber diese Maßnahme reicht nicht. Der soziale Wohnungsbau wurde in den letzten Jahrzehnten zugunsten der Erzielung von Maximalprofiten für Immobilienkonzerne und die Bauindustrie massiv abgebaut. Wir fordern die Schaffung von ausreichendem, umweltgerechten und preisgünstigem Wohnraum! Allerdings kann der Charakter des Wohnraums als Ware zur Erzielung von Maximalprofit erst in einer sozialistischen Gesellschaftsordnung aufgehoben werden.
21;MENSCHLICHE WELT;Menschliche Welt - für das Wohl und Glücklichsein aller;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Wohnen ist ein Grundbedürfnis. Das Interesse an bezahlbarem Wohnraum der Mieter überwiegt das Interesse der Vermieter an einer Rendite. Gleichzeitig muss es für Vermieter weiter finanziell interessant genug sein, Mietraum anzubieten. Mit dem Eigentum von Mietwohnungen sind teils erhebliche Risiken und Aufwendungen verbunden, die der Vermieter dem Mieter abnimmt. Daraus ergibt sich die Rechtfertigung für den Ertrag des Vermieters. Dies sollte in einem fairen Verhältnis stehen.
22;PdF;Partei des Fortschritts;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Oft steigen die Mieten unrealistisch, obwohl die Vermieter keine zusätzlichen Kosten haben. Die Mietpreisbremse greift oft nicht, daher muss sie reformiert werden, um Mieterinnen und Mieter zu schützen und illegale Mieterhöhungen zu verhindern. Wichtig ist Transparenz: Vermieter sollten Mietpreise anonymisiert und digital zur Verfügung stellen. Das würde die Verhandlungsposition der Mieter verbessern und zu mehr Fairness auf dem Wohnungsmarkt führen.
23;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Wohnen ist ein Grundrecht und keine Ware. Die großen Immobilienkonzerne müssen entschädigungslos enteignet werden. Es müssen massive Investitionen im sozialen Wohnungsbau getätigt werden, die durch eine Besteuerung der Reichen finanziert wird.
24;BüSo;Bürgerrechtsbewegung Solidarität;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Wichtiger wäre, den sozialen Wohnungsbau massiv auszuweiten.
25;BÜNDNIS DEUTSCHLAND;BÜNDNIS DEUTSCHLAND;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme nicht zu;Als freiheitliche Partei wendet sich BÜNDNIS DEUTSCHLAND grundsätzlich gegen staatliche Eingriffe in den freien Markt. Gerade die Mietpreisbremse hat dazu geführt, dass das Wohnungsangebot deutlich zurückgegangen ist. Zudem führt sie zu Umgehungen wie bspw. über eine möblierte Vermietung.
26;BSW;Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;
27;MERA25;MERA25 - Gemeinsam für Europäische Unabhängigkeit;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme zu;Um den rasanten Anstieg der Mieten in vielen Städten zu stoppen, wollen wir einen bundesweiten Mietendeckel erlassen. Kommunen sollen mittels des Mietendeckels ermächtigt werden, kommunale Höchstmieten festzulegen. Ferner wollen wir die Mietpreisbremse verschärfen. Mieterhöhungsmöglichkeiten sollen ohne Ausnahmen auf 2 % pro Jahr begrenzt werden. Behörden wollen wir anweisen, mit Bußgeldern und Strafverfolgung gegen Missachtung vorzugehen.
28;WerteUnion;WerteUnion;6;Begrenzung der Mietpreise;Bei Neuvermietungen sollen die Mietpreise weiterhin gesetzlich begrenzt werden.;stimme nicht zu;Nicht ordnungskonforme Eingriffe in die Mietpreisbildung, insbesondere einen „Mietpreisdeckel“, lehnen wir genauso ab wie ein Mietrecht und bürokratische Vorschriften, die Investitionen in den Wohnungsbau behindern.
1;SPD;Sozialdemokratische Partei Deutschlands;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Wir sprechen uns gegen eine anlasslose Überwachung der Bürgerinnen und Bürger im öffentlichen Raum aus.
2;CDU / CSU;Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme zu;Wir fordern den Ausbau des Videoschutzes an öffentlichen Gefahrenorten und Systeme zur automatisierten Gesichtserkennung an Bahnhöfen, Flughäfen und anderen Kriminalitätsschwerpunkten zur Identifizierung schwerer Straftäter.
3;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Wir wollen, dass sich Menschen im Alltag bewegen können, ohne Sorge vor Überwachung zu haben. Eine automatisierte Gesichtserkennung von Fahrgästen wäre ein folgenreicher und unverhältnismäßiger Einschnitt in diese Freiheit. Kameraüberwachungen an Bahnhöfen und anderen gefährdeten öffentlichen Orten sowie eine regelmäßige Bestreifung durch die Polizei können hingegen mehr Sicherheit gewährleisten.
4;FDP;Freie Demokratische Partei;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Die Bürgerinnen und Bürger haben das Recht, sich ohne ständige Kontrolle im öffentlichen Raum zu bewegen. Videoüberwachung kann an einzelnen Kriminalitätsschwerpunkten wie Bahnhöfen Sinn ergeben, ersetzt jedoch niemals die Präsenz von Polizistinnen und Polizisten sowie funktionierende Präventionskonzepte. Eine flächendeckende Überwachung im öffentlichen Raum darf es daher nicht geben. Den Einsatz von automatisierter Gesichtserkennung im öffentlichen Raum lehnen wir ab.
5;AfD;Alternative für Deutschland;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme zu;Bahnhöfe gehören heutzutage leider zu den Hochrisikozonen. Dem wachsenden Anstieg der Kriminalität dort kann die Polizei nur begrenzt mit einem personellen Aufwuchs begegnen. Der Einsatz moderner Technik wie die automatisierte Gesichtserkennung kann die personelle Problematik zum Teil kompensieren. Datenschutzrechtliche Bedenken können durch entsprechende gesetzliche Regelungen ausgeräumt werden.
6;Die Linke;Die Linke;7;Automatisierte Gesichtserkennung;An Bahnhöfen soll die Bundespolizei Software zur automatisierten Gesichtserkennung einsetzen dürfen.;stimme nicht zu;Flächendeckende Überwachung gehört in autoritäre Staaten, nicht in eine Demokratie. Wir verteidigen das Recht auf informationelle Selbstbestimmung. Automatisierte Gesichtserkennung und Verhaltensklassifikation führen oft zu Diskriminierung.
